50_50_shot,ball_receipt_outcome_shot,ball_recovery_recovery_failure_shot,block_deflection_shot,carry_end_location_shot,clearance_aerial_won_shot,clearance_body_part_shot,clearance_head_shot,clearance_left_foot_shot,clearance_right_foot_shot,counterpress_shot,dribble_nutmeg_shot,dribble_outcome_shot,dribble_overrun_shot,duel_outcome_shot,duel_type_shot,duration_shot,foul_committed_advantage_shot,foul_committed_type_shot,foul_won_advantage_shot,foul_won_defensive_shot,goalkeeper_body_part_shot,goalkeeper_end_location_shot,goalkeeper_outcome_shot,goalkeeper_position_shot,goalkeeper_punched_out_shot,goalkeeper_success_in_play_shot,goalkeeper_technique_shot,goalkeeper_type_shot,id_shot,index_shot,interception_outcome_shot,location_shot,match_id_shot,minute_shot,miscontrol_aerial_won_shot,off_camera_shot,out_shot,pass_aerial_won_shot,pass_angle_shot,pass_assisted_shot_id_shot,pass_body_part_shot,pass_cross_shot,pass_cut_back_shot,pass_deflected_shot,pass_end_location_shot,pass_goal_assist_shot,pass_height_shot,pass_inswinging_shot,pass_length_shot,pass_no_touch_shot,pass_outcome_shot,pass_outswinging_shot,pass_recipient_shot,pass_shot_assist_shot,pass_straight_shot,pass_switch_shot,pass_technique_shot,pass_through_ball_shot,pass_type_shot,period_shot,play_pattern_shot,player_shot,player_id_shot,position_shot,possession_shot,possession_team_shot,possession_team_id_shot,related_events_shot,second_shot,shot_aerial_won_shot,shot_body_part_shot,shot_deflected_shot,shot_end_location_shot,shot_first_time_shot,shot_freeze_frame_shot,shot_key_pass_id_shot,shot_one_on_one_shot,shot_outcome_shot,shot_statsbomb_xg_shot,shot_technique_shot,shot_type_shot,substitution_outcome_shot,substitution_replacement_shot,tactics_shot,team_shot,team_id_shot,timestamp_shot,type_shot,under_pressure_shot,comp_shot,play_before_type,50_50_pass,ball_receipt_outcome_pass,ball_recovery_recovery_failure_pass,block_deflection_pass,carry_end_location_pass,clearance_aerial_won_pass,clearance_body_part_pass,clearance_head_pass,clearance_left_foot_pass,clearance_right_foot_pass,counterpress_pass,dribble_nutmeg_pass,dribble_outcome_pass,dribble_overrun_pass,duel_outcome_pass,duel_type_pass,duration_pass,foul_committed_advantage_pass,foul_committed_type_pass,foul_won_advantage_pass,foul_won_defensive_pass,goalkeeper_body_part_pass,goalkeeper_end_location_pass,goalkeeper_outcome_pass,goalkeeper_position_pass,goalkeeper_punched_out_pass,goalkeeper_success_in_play_pass,goalkeeper_technique_pass,goalkeeper_type_pass,id_pass,index_pass,interception_outcome_pass,location_pass,match_id_pass,minute_pass,miscontrol_aerial_won_pass,off_camera_pass,out_pass,pass_aerial_won_pass,pass_angle_pass,pass_assisted_shot_id_pass,pass_body_part_pass,pass_cross_pass,pass_cut_back_pass,pass_deflected_pass,pass_end_location_pass,pass_goal_assist_pass,pass_height_pass,pass_inswinging_pass,pass_length_pass,pass_no_touch_pass,pass_outcome_pass,pass_outswinging_pass,pass_recipient_pass,pass_shot_assist_pass,pass_straight_pass,pass_switch_pass,pass_technique_pass,pass_through_ball_pass,pass_type_pass,period_pass,play_pattern_pass,player_pass,player_id_pass,position_pass,possession_pass,possession_team_pass,possession_team_id_pass,related_events_pass,second_pass,shot_aerial_won_pass,shot_body_part_pass,shot_deflected_pass,shot_end_location_pass,shot_first_time_pass,shot_freeze_frame_pass,shot_key_pass_id_pass,shot_one_on_one_pass,shot_outcome_pass,shot_statsbomb_xg_pass,shot_technique_pass,shot_type_pass,substitution_outcome_pass,substitution_replacement_pass,tactics_pass,team_pass,team_id_pass,timestamp_pass,type_pass,under_pressure_pass,comp_pass,shot_event,goalkeeper_position,league,season
,,,,,,,,,,,,,,,,1.399031,,,,,,,,,,,,,c71effc2-5594-41a1-bd9e-76fd0b8aa8cc,221,,"[113.0, 35.8]",3888711,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Dirk Wouter Johannes van Dijk,397744.0,Center Forward,14,Ajax,806,['9fbcf6d2-1e0f-43a0-a3ce-105be6a3f9e5'],30,,Head,,"[120.0, 43.4, 1.3]",,"[{'location': [118.9, 38.0], 'player': {'id': 397745, 'name': 'Takis Ikonomopoulos'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [104.0, 31.0], 'player': {'id': 397751, 'name': 'Konstantinos Eleftherakis'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [101.2, 24.9], 'player': {'id': 397749, 'name': 'Yiannis Tomaras'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [112.2, 38.0], 'player': {'id': 397746, 'name': 'Frantsiskos Sourpis'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.3, 25.8], 'player': {'id': 397747, 'name': 'Anthimos Kapsis'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}]",3aba7356-fd05-410d-bf6d-9056ada33bfa,,Goal,0.21402292,Normal,Open Play,,,,Ajax,806,00:04:30.321,Shot,,Champions League,Pass,,,,,,,,,,,,,,,,,0.801699,,,,,,,,,,,,,3aba7356-fd05-410d-bf6d-9056ada33bfa,219.0,,"[111.0, 14.1]",3888711.0,4.0,,,,,1.4788901,c71effc2-5594-41a1-bd9e-76fd0b8aa8cc,Left Foot,True,,,"[113.0, 35.8]",True,High Pass,,21.791971,,,,Dirk Wouter Johannes van Dijk,,,,,,,1.0,From Free Kick,Piet Keizer,39716.0,Center Attacking Midfield,14.0,Ajax,806.0,['9782834d-cb3b-45e7-a0d0-23772223a236'],29.0,,,,,,,,,,,,,,,,Ajax,806.0,00:04:29.555,Pass,,Champions League,c71effc2-5594-41a1-bd9e-76fd0b8aa8cc,Set,Champions League,1970/1971
,,,,,,,,,,,,,,,,0.667325,,,,,,,,,,,,,3aba2ff5-e68d-4ad8-9a02-426fdd16b0e8,2033,,"[110.0, 40.4]",3888711,52,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Arie Haan,39719.0,Right Attacking Midfield,135,Ajax,806,['9b894ac2-3935-47cb-b4cd-2e4dc83af4cc'],1,,Left Foot,,"[120.0, 39.8, 5.9]",True,"[{'location': [107.8, 33.0], 'player': {'id': 39713, 'name': 'Johan Cruyff'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [118.0, 37.4], 'player': {'id': 397745, 'name': 'Takis Ikonomopoulos'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [108.6, 28.8], 'player': {'id': 397747, 'name': 'Anthimos Kapsis'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [110.8, 37.2], 'player': {'id': 397746, 'name': 'Frantsiskos Sourpis'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.8, 42.6], 'player': {'id': 397748, 'name': 'Georgios Vlachos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [110.5, 49.2], 'player': {'id': 39716, 'name': 'Piet Keizer'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': True}]",75918202-da62-46dc-b3f8-9b85b7f983c3,,Off T,0.52269804,Normal,Open Play,,,,Ajax,806,00:07:01.433,Shot,,Champions League,Ball Receipt*,,,,,,,,,,,,,,,,,0.693476,,,,,,,,,,,,,75918202-da62-46dc-b3f8-9b85b7f983c3,2031.0,,"[109.8, 31.5]",3888711.0,52.0,,,,,1.5483282,3aba2ff5-e68d-4ad8-9a02-426fdd16b0e8,Right Foot,,,,"[110.0, 40.4]",,Ground Pass,,8.902246,,,,Arie Haan,True,,,,,,2.0,Regular Play,Dirk Wouter Johannes van Dijk,397744.0,Right Center Forward,135.0,Ajax,806.0,['e3127708-c5b9-4fab-98b5-76d704839f04'],0.0,,,,,,,,,,,,,,,,Ajax,806.0,00:07:00.691,Pass,,Champions League,3aba2ff5-e68d-4ad8-9a02-426fdd16b0e8,Moving,Champions League,1970/1971
,,,,,,,,,,,,,,,,0.630628,,,,,,,,,,,,,7ce563af-aca5-4693-9151-f4886e75256d,390,,"[112.1, 47.3]",3888711,9,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Gerrie Mühren,39724.0,Left Defensive Midfield,28,Ajax,806,['eddfbc51-553f-49f1-bba1-b87d465d26c1'],11,,Head,,"[120.0, 42.7, 5.5]",,"[{'location': [118.9, 42.7], 'player': {'id': 397745, 'name': 'Takis Ikonomopoulos'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.5, 46.0], 'player': {'id': 397750, 'name': 'Aristidis Kamaras'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [114.9, 58.5], 'player': {'id': 397746, 'name': 'Frantsiskos Sourpis'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [112.6, 40.3], 'player': {'id': 397749, 'name': 'Yiannis Tomaras'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [113.1, 44.2], 'player': {'id': 397752, 'name': 'Dimitris Domazos'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [110.9, 39.6], 'player': {'id': 397744, 'name': 'Dirk Wouter Johannes van Dijk'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",6d50f086-4232-4b52-8c87-4f496a16e1f4,,Off T,0.09252282,Normal,Open Play,,,,Ajax,806,00:09:11.336,Shot,,Champions League,Pass,,,,,,,,,,,,,,,,,1.234307,,,,,,,,,,,,,6d50f086-4232-4b52-8c87-4f496a16e1f4,388.0,,"[108.8, 69.6]",3888711.0,9.0,,,,,-1.4238805,7ce563af-aca5-4693-9151-f4886e75256d,Right Foot,True,,,"[112.1, 47.3]",,High Pass,,22.542849,,,,Gerrie Mühren,True,,,,,,1.0,Regular Play,Johan Cruyff,39713.0,Left Wing,28.0,Ajax,806.0,['0ab1c315-f8b4-4137-a88b-ffb9d08fcbf4'],10.0,,,,,,,,,,,,,,,,Ajax,806.0,00:09:10.113,Pass,,Champions League,7ce563af-aca5-4693-9151-f4886e75256d,Set,Champions League,1970/1971
,,,,,,,,,,,,,,,,0.365093,,,,,,,,,,,,,ecb733f4-3e3d-4194-bf95-d3d86cef4183,438,,"[112.1, 32.4]",3888711,10,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Dirk Wouter Johannes van Dijk,397744.0,Center Forward,31,Ajax,806,['5c5e663c-5ee8-44cd-8702-ae6f54269e97'],50,,Head,,"[114.5, 39.3]",,"[{'location': [118.8, 37.2], 'player': {'id': 397749, 'name': 'Yiannis Tomaras'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [113.0, 39.6], 'player': {'id': 397746, 'name': 'Frantsiskos Sourpis'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [115.0, 34.3], 'player': {'id': 397747, 'name': 'Anthimos Kapsis'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.3, 33.4], 'player': {'id': 397745, 'name': 'Takis Ikonomopoulos'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",,,Wayward,0.081609786,Normal,Open Play,,,,Ajax,806,00:10:50.578,Shot,,Champions League,Ball Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecb733f4-3e3d-4194-bf95-d3d86cef4183,Moving,Champions League,1970/1971
,,,,,,,,,,,,,,,,1.185573,,,,,,,,,,,,,7b7fb713-e693-490d-8446-f0c0a3a7f2c0,2218,,"[93.5, 32.7]",3888711,56,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Konstantinos Eleftherakis,397751.0,Left Center Midfield,147,Panathinaikos,952,['2012e1cc-60b8-434d-a3cd-5cecd8f1a011'],51,,Right Foot,,"[120.0, 34.2, 1.2]",,"[{'location': [101.8, 56.9], 'player': {'id': 39734, 'name': 'Wim Suurbier'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [95.9, 36.4], 'player': {'id': 39716, 'name': 'Piet Keizer'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': False}, {'location': [96.0, 30.3], 'player': {'id': 39729, 'name': 'Horst Blankenburg'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [100.3, 35.3], 'player': {'id': 39724, 'name': 'Gerrie Mühren'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [103.8, 41.1], 'player': {'id': 397742, 'name': 'Velibor Vasović'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.4, 37.0], 'player': {'id': 39726, 'name': 'Barry Hulshoff'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [118.1, 38.7], 'player': {'id': 39728, 'name': 'Heinz Stuy'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [103.9, 30.3], 'player': {'id': 39721, 'name': 'Johan Neeskens'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [101.6, 62.0], 'player': {'id': 397754, 'name': 'Haris Grammos'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [96.4, 40.8], 'player': {'id': 397750, 'name': 'Aristidis Kamaras'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [104.0, 46.4], 'player': {'id': 397755, 'name': 'Antonis Antoniadis'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [103.3, 31.5], 'player': {'id': 397752, 'name': 'Dimitris Domazos'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [102.6, 30.5], 'player': {'id': 397753, 'name': 'Totis Fylakouris'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",88546fd7-b328-4e94-b423-c4ed40673358,,Off T,0.030987032,Normal,Open Play,,,,Panathinaikos,952,00:11:51.890,Shot,,Champions League,Ball Receipt*,,,,,,,,,,,,,,,,,1.95965,,,,,,,,,,,,,88546fd7-b328-4e94-b423-c4ed40673358,2215.0,,"[90.1, 4.9]",3888711.0,56.0,,,,,1.7369158,7b7fb713-e693-490d-8446-f0c0a3a7f2c0,Right Foot,,,,"[87.3, 21.6]",,Ground Pass,,16.933104,,,,Konstantinos Eleftherakis,True,,,,,,2.0,From Goal Kick,Georgios Vlachos,397748.0,Left Back,147.0,Panathinaikos,952.0,['16d8813c-4cef-4ce5-a61a-722a7eb6b11e'],48.0,,,,,,,,,,,,,,,,Panathinaikos,952.0,00:11:48.448,Pass,,Champions League,7b7fb713-e693-490d-8446-f0c0a3a7f2c0,Set,Champions League,1970/1971
,,,,,,,,,,,,,,,,0.83974,,,,,,,,,,,,,efdcccff-0cc5-4f0c-8d88-86a7210e556f,515,,"[105.3, 59.1]",3888711,13,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Dirk Wouter Johannes van Dijk,397744.0,Center Forward,37,Ajax,806,['9e64a61d-f4d6-41c5-aa71-cc19cfbde412'],20,,Right Foot,,"[117.1, 44.3, 0.2]",True,"[{'location': [117.7, 43.8], 'player': {'id': 397745, 'name': 'Takis Ikonomopoulos'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [101.3, 40.2], 'player': {'id': 397747, 'name': 'Anthimos Kapsis'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.3, 47.9], 'player': {'id': 397746, 'name': 'Frantsiskos Sourpis'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.5, 56.4], 'player': {'id': 397748, 'name': 'Georgios Vlachos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [94.9, 39.9], 'player': {'id': 39723, 'name': 'Sjaak Swart'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",9cb523a2-0aec-4f3b-9daf-2e22a69003b2,,Saved,0.012046729,Normal,Open Play,,,,Ajax,806,00:13:20.846,Shot,,Champions League,Dribble,,,,,,,,,,,,,,,,,2.588411,,,,,,,,,,,,,9cb523a2-0aec-4f3b-9daf-2e22a69003b2,513.0,,"[79.3, 48.2]",3888711.0,13.0,,,,,0.39697394,efdcccff-0cc5-4f0c-8d88-86a7210e556f,Right Foot,,,,"[105.3, 59.1]",,Ground Pass,,28.192375,,,,Dirk Wouter Johannes van Dijk,True,,,,,,1.0,Regular Play,Sjaak Swart,39723.0,Right Wing,37.0,Ajax,806.0,['c2b75ed6-380e-472e-a165-d16af1a9e6d1'],18.0,,,,,,,,,,,,,,,,Ajax,806.0,00:13:18.295,Pass,,Champions League,efdcccff-0cc5-4f0c-8d88-86a7210e556f,Set,Champions League,1970/1971
,,,,,,,,,,,,,,,,1.521665,,,,,,,,,,,,,18623b9c-bf06-47ad-9b82-4f07c6daa211,2291,,"[107.8, 45.5]",3888711,58,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Antonis Antoniadis,397755.0,Center Forward,154,Panathinaikos,952,"['32585fe7-72a4-4e49-8b45-5dbb5a2fda89', 'a2c4ad67-cb70-4c21-9f5c-d8ba92c8755c']",40,True,Head,,"[120.0, 30.4, 1.9]",,"[{'location': [117.8, 39.8], 'player': {'id': 39728, 'name': 'Heinz Stuy'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.9, 41.9], 'player': {'id': 39724, 'name': 'Gerrie Mühren'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [109.0, 45.3], 'player': {'id': 39734, 'name': 'Wim Suurbier'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [108.1, 37.7], 'player': {'id': 397742, 'name': 'Velibor Vasović'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [94.6, 30.4], 'player': {'id': 397753, 'name': 'Totis Fylakouris'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [105.3, 37.3], 'player': {'id': 397750, 'name': 'Aristidis Kamaras'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}]",fb58d8e0-3ce6-47e6-af42-5352db0567f3,,Off T,0.0340106,Normal,Open Play,,,,Panathinaikos,952,00:13:40.181,Shot,True,Champions League,Ball Receipt*,,,,,,,,,,,,,,,,,2.640814,,,,,,,,,,,,,fb58d8e0-3ce6-47e6-af42-5352db0567f3,2288.0,,"[69.8, 9.8]",3888711.0,58.0,,,,,0.7542007,18623b9c-bf06-47ad-9b82-4f07c6daa211,Right Foot,,,,"[107.8, 45.5]",,High Pass,,52.13914,,,,Antonis Antoniadis,True,,,,,,2.0,Regular Play,Dimitris Domazos,397752.0,Right Center Midfield,154.0,Panathinaikos,952.0,['5c11f73b-bba0-4f6c-ada2-92ccc086bc2d'],37.0,,,,,,,,,,,,,,,,Panathinaikos,952.0,00:13:37.504,Pass,,Champions League,18623b9c-bf06-47ad-9b82-4f07c6daa211,Set,Champions League,1970/1971
,,,,,,,,,,,,,,,,1.109863,,,,,,,,,,,,,7e6a5967-649e-41f7-aa90-e7a7a34fc721,523,,"[109.5, 38.8]",3888711,13,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Antonis Antoniadis,397755.0,Center Forward,39,Panathinaikos,952,['c4e2e37b-9596-4571-9fbd-1a00db3a0bd2'],40,,Head,,"[120.0, 34.2, 1.3]",,"[{'location': [116.5, 34.3], 'player': {'id': 397742, 'name': 'Velibor Vasović'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.0, 41.2], 'player': {'id': 39726, 'name': 'Barry Hulshoff'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.3, 46.8], 'player': {'id': 39734, 'name': 'Wim Suurbier'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [110.6, 38.4], 'player': {'id': 39728, 'name': 'Heinz Stuy'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [112.0, 40.5], 'player': {'id': 397753, 'name': 'Totis Fylakouris'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",,,Off T,0.23104268,Normal,Open Play,,,,Panathinaikos,952,00:13:40.680,Shot,,Champions League,Ball Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7e6a5967-649e-41f7-aa90-e7a7a34fc721,Set,Champions League,1970/1971
,,,,,,,,,,,,,,,,1.055461,,,,,,,,,,,,,c7090427-f832-4cdc-9054-e176c3cc3e34,2506,,"[92.2, 43.1]",3888711,64,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Gerrie Mühren,39724.0,Left Defensive Midfield,168,Ajax,806,['eeabe2c2-9bd0-4ce8-8ec3-27b341d63fa2'],22,,Right Foot,,"[117.8, 37.7, 0.7]",,"[{'location': [101.9, 25.6], 'player': {'id': 39713, 'name': 'Johan Cruyff'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [118.4, 38.4], 'player': {'id': 397745, 'name': 'Takis Ikonomopoulos'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [103.3, 60.8], 'player': {'id': 39716, 'name': 'Piet Keizer'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': True}, {'location': [106.1, 50.6], 'player': {'id': 397748, 'name': 'Georgios Vlachos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [107.2, 41.1], 'player': {'id': 397746, 'name': 'Frantsiskos Sourpis'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [104.4, 39.4], 'player': {'id': 397747, 'name': 'Anthimos Kapsis'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.7, 33.5], 'player': {'id': 397749, 'name': 'Yiannis Tomaras'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [96.7, 42.3], 'player': {'id': 397750, 'name': 'Aristidis Kamaras'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [91.7, 53.2], 'player': {'id': 397752, 'name': 'Dimitris Domazos'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [104.3, 31.9], 'player': {'id': 397744, 'name': 'Dirk Wouter Johannes van Dijk'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [103.3, 38.2], 'player': {'id': 39729, 'name': 'Horst Blankenburg'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}]",,,Saved,0.025819054,Normal,Open Play,,,,Ajax,806,00:19:22.916,Shot,,Champions League,Ball Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c7090427-f832-4cdc-9054-e176c3cc3e34,Set,Champions League,1970/1971
,,,,,,,,,,,,,,,,1.071374,,,,,,,,,,,,,93c2770c-4fdb-49ca-bf2d-eaa4dd0b2a40,2655,,"[108.2, 26.3]",3888711,67,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Johan Cruyff,39713.0,Left Center Forward,179,Ajax,806,['5cd2763c-fcad-45b2-ac7a-dff88cccaffb'],59,,Left Foot,,"[120.0, 45.4, 0.2]",,"[{'location': [117.4, 38.0], 'player': {'id': 397745, 'name': 'Takis Ikonomopoulos'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [109.7, 34.5], 'player': {'id': 397746, 'name': 'Frantsiskos Sourpis'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.8, 41.6], 'player': {'id': 397747, 'name': 'Anthimos Kapsis'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [95.7, 59.4], 'player': {'id': 397748, 'name': 'Georgios Vlachos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [105.6, 30.7], 'player': {'id': 397749, 'name': 'Yiannis Tomaras'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [94.8, 42.0], 'player': {'id': 39719, 'name': 'Arie Haan'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': True}, {'location': [106.9, 41.8], 'player': {'id': 397744, 'name': 'Dirk Wouter Johannes van Dijk'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}]",,,Off T,0.07595716,Half Volley,Open Play,,,,Ajax,806,00:22:59.904,Shot,,Champions League,Ball Receipt*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93c2770c-4fdb-49ca-bf2d-eaa4dd0b2a40,Set,Champions League,1970/1971
