50_50_shot,ball_receipt_outcome_shot,ball_recovery_offensive_shot,ball_recovery_recovery_failure_shot,block_deflection_shot,block_offensive_shot,carry_end_location_shot,clearance_aerial_won_shot,clearance_body_part_shot,clearance_head_shot,clearance_left_foot_shot,clearance_right_foot_shot,counterpress_shot,dribble_nutmeg_shot,dribble_outcome_shot,dribble_overrun_shot,duel_outcome_shot,duel_type_shot,duration_shot,foul_committed_advantage_shot,foul_committed_offensive_shot,foul_committed_type_shot,foul_won_advantage_shot,foul_won_defensive_shot,goalkeeper_body_part_shot,goalkeeper_end_location_shot,goalkeeper_outcome_shot,goalkeeper_position_shot,goalkeeper_technique_shot,goalkeeper_type_shot,id_shot,index_shot,interception_outcome_shot,location_shot,match_id_shot,minute_shot,miscontrol_aerial_won_shot,off_camera_shot,out_shot,pass_aerial_won_shot,pass_angle_shot,pass_assisted_shot_id_shot,pass_body_part_shot,pass_cross_shot,pass_cut_back_shot,pass_deflected_shot,pass_end_location_shot,pass_goal_assist_shot,pass_height_shot,pass_length_shot,pass_no_touch_shot,pass_outcome_shot,pass_outswinging_shot,pass_recipient_shot,pass_shot_assist_shot,pass_straight_shot,pass_switch_shot,pass_technique_shot,pass_through_ball_shot,pass_type_shot,period_shot,play_pattern_shot,player_shot,player_id_shot,position_shot,possession_shot,possession_team_shot,possession_team_id_shot,related_events_shot,second_shot,shot_body_part_shot,shot_end_location_shot,shot_first_time_shot,shot_freeze_frame_shot,shot_key_pass_id_shot,shot_one_on_one_shot,shot_open_goal_shot,shot_outcome_shot,shot_statsbomb_xg_shot,shot_technique_shot,shot_type_shot,tactics_shot,team_shot,team_id_shot,timestamp_shot,type_shot,under_pressure_shot,comp_shot,play_before_type,50_50_pass,ball_receipt_outcome_pass,ball_recovery_offensive_pass,ball_recovery_recovery_failure_pass,block_deflection_pass,block_offensive_pass,carry_end_location_pass,clearance_aerial_won_pass,clearance_body_part_pass,clearance_head_pass,clearance_left_foot_pass,clearance_right_foot_pass,counterpress_pass,dribble_nutmeg_pass,dribble_outcome_pass,dribble_overrun_pass,duel_outcome_pass,duel_type_pass,duration_pass,foul_committed_advantage_pass,foul_committed_offensive_pass,foul_committed_type_pass,foul_won_advantage_pass,foul_won_defensive_pass,goalkeeper_body_part_pass,goalkeeper_end_location_pass,goalkeeper_outcome_pass,goalkeeper_position_pass,goalkeeper_technique_pass,goalkeeper_type_pass,id_pass,index_pass,interception_outcome_pass,location_pass,match_id_pass,minute_pass,miscontrol_aerial_won_pass,off_camera_pass,out_pass,pass_aerial_won_pass,pass_angle_pass,pass_assisted_shot_id_pass,pass_body_part_pass,pass_cross_pass,pass_cut_back_pass,pass_deflected_pass,pass_end_location_pass,pass_goal_assist_pass,pass_height_pass,pass_length_pass,pass_no_touch_pass,pass_outcome_pass,pass_outswinging_pass,pass_recipient_pass,pass_shot_assist_pass,pass_straight_pass,pass_switch_pass,pass_technique_pass,pass_through_ball_pass,pass_type_pass,period_pass,play_pattern_pass,player_pass,player_id_pass,position_pass,possession_pass,possession_team_pass,possession_team_id_pass,related_events_pass,second_pass,shot_body_part_pass,shot_end_location_pass,shot_first_time_pass,shot_freeze_frame_pass,shot_key_pass_id_pass,shot_one_on_one_pass,shot_open_goal_pass,shot_outcome_pass,shot_statsbomb_xg_pass,shot_technique_pass,shot_type_pass,tactics_pass,team_pass,team_id_pass,timestamp_pass,type_pass,under_pressure_pass,comp_pass,shot_event,goalkeeper_position,league,season,goalkeeper_punched_out_shot,pass_inswinging_shot,player_off_permanent_shot,shot_aerial_won_shot,shot_deflected_shot,goalkeeper_punched_out_pass,pass_inswinging_pass,player_off_permanent_pass,shot_aerial_won_pass,shot_deflected_pass
,,,,,,,,,,,,,,,,,,1.104361,,,,,,,,,,,,d86cfd98-3ee2-427f-90a3-4341858ae57f,1873,,"[104.3, 60.4]",3888705,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,Gunnar Gren,397784.0,Right Attacking Midfield,135,Sweden,790,['91333a53-f405-4a1e-87cd-11521576f4d5'],24,Right Foot,"[110.3, 43.8]",True,"[{'location': [118.5, 40.6], 'player': {'id': 397683, 'name': 'Gylmar dos Santos Neves'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [111.3, 35.6], 'player': {'id': 397692, 'name': 'Dejalma Pereira Dias dos Santos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [112.1, 42.7], 'player': {'id': 397685, 'name': 'Hideraldo Luis Bellini'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [99.3, 50.3], 'player': {'id': 397703, 'name': 'Waldyr Pereira'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [110.0, 56.9], 'player': {'id': 397684, 'name': 'Nilton dos Reis Santos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [104.1, 55.6], 'player': {'id': 397688, 'name': 'José Ely de Miranda'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [106.6, 56.9], 'player': {'id': 397686, 'name': 'Orlando Peçanha de Carvalho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.4, 60.7], 'player': {'id': 397702, 'name': 'Mário Jorge Lobo Zagallo'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [107.9, 37.9], 'player': {'id': 397787, 'name': 'Kurt Roland Hamrin'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': True}, {'location': [103.8, 39.0], 'player': {'id': 397782, 'name': 'Nils Liedholm'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': True}, {'location': [103.7, 58.7], 'player': {'id': 397788, 'name': 'Agne Simonsson'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",,,,Wayward,0.0100309,Normal,Open Play,,Sweden,790,00:00:24.459,Shot,,FIFA World Cup,Ball Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d86cfd98-3ee2-427f-90a3-4341858ae57f,Set,FIFA World Cup,1958,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.884694,,,,,,,,,,,,28451585-1946-49f0-bd2c-80d44d7a7cc0,1904,,"[113.4, 55.8]",3888705,46,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Manoel Francisco dos Santos,397689.0,Right Midfield,136,Brazil,781,['62cf637e-fe03-4a7f-aea4-cf00f4e6db57'],2,Right Foot,"[118.6, 41.1, 1.5]",True,"[{'location': [112.5, 51.0], 'player': {'id': 397785, 'name': 'Bengt Gustavsson'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [118.5, 43.0], 'player': {'id': 397780, 'name': 'Karl-Oskar Svensson'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",68c2e87c-b973-4b82-8a21-352313599d1e,,,Saved,0.022114681,Lob,Open Play,,Brazil,781,00:01:02.138,Shot,,FIFA World Cup,Ball Receipt*,,,,,,,,,,,,,,,,,,,3.456524,,,,,,,,,,,,68c2e87c-b973-4b82-8a21-352313599d1e,1902.0,,"[87.8, 53.2]",3888705.0,45.0,,,,,0.101215445,28451585-1946-49f0-bd2c-80d44d7a7cc0,Left Foot,,,,"[113.4, 55.8]",,Ground Pass,25.731693,,,,Manoel Francisco dos Santos,True,,,,,Recovery,2.0,Regular Play,Edvaldo Izidio Neto,397690.0,Left Center Forward,136.0,Brazil,781.0,['ee164fd9-7c00-47a6-ad57-394d78ea770e'],58.0,,,,,,,,,,,,,Brazil,781.0,00:00:58.466,Pass,,FIFA World Cup,28451585-1946-49f0-bd2c-80d44d7a7cc0,Set,FIFA World Cup,1958,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.696969,,,,,,,,,,,,085c9317-d40d-4ce7-91e6-bd5d30cf0df6,2015,,"[105.8, 53.5]",3888705,48,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Manoel Francisco dos Santos,397689.0,Right Midfield,141,Brazil,781,['c7d2903b-6e45-41cb-915b-9768779ca8bf'],40,Right Foot,"[120.0, 46.0, 0.2]",True,"[{'location': [119.1, 38.2], 'player': {'id': 397801, 'name': 'Ernst Orvar Bergmark'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [116.4, 43.6], 'player': {'id': 397785, 'name': 'Bengt Gustavsson'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [111.9, 46.1], 'player': {'id': 397783, 'name': 'Sigvard Parling'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [119.0, 43.6], 'player': {'id': 397781, 'name': 'Sven Axbom'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.4, 50.7], 'player': {'id': 397782, 'name': 'Nils Liedholm'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': False}, {'location': [116.0, 45.5], 'player': {'id': 397780, 'name': 'Karl-Oskar Svensson'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [119.9, 48.4], 'player': {'id': 397703, 'name': 'Waldyr Pereira'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}]",,,,Off T,0.033804204,Half Volley,Open Play,,Brazil,781,00:03:40.923,Shot,,FIFA World Cup,Ball Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,085c9317-d40d-4ce7-91e6-bd5d30cf0df6,Prone,FIFA World Cup,1958,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.317203,,,,,,,,,,,,2b381a1b-c526-4565-be9d-55f94aeb0817,194,,"[94.6, 46.1]",3888705,3,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Waldyr Pereira,397703.0,Left Defensive Midfield,12,Brazil,781,"['8a55adae-e5d0-4df3-9706-35af72323397', 'c6af66af-3bbc-4d00-ad82-57487f30fe08', 'd6330a4b-a5df-4004-a92b-e90f52b36c65']",41,Left Foot,"[99.9, 44.6]",,"[{'location': [118.4, 40.9], 'player': {'id': 397780, 'name': 'Karl-Oskar Svensson'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [100.8, 31.6], 'player': {'id': 397801, 'name': 'Ernst Orvar Bergmark'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [97.3, 41.2], 'player': {'id': 397786, 'name': 'Reino Borjesson'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [99.3, 59.8], 'player': {'id': 397781, 'name': 'Sven Axbom'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [97.1, 50.7], 'player': {'id': 397783, 'name': 'Sigvard Parling'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [94.8, 52.0], 'player': {'id': 39712, 'name': 'Édson Arantes do Nascimento'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [96.4, 40.0], 'player': {'id': 397690, 'name': 'Edvaldo Izidio Neto'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [98.8, 45.2], 'player': {'id': 397785, 'name': 'Bengt Gustavsson'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}]",,,,Blocked,0.030492207,Normal,Open Play,,Brazil,781,00:03:41.561,Shot,True,FIFA World Cup,Shot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2b381a1b-c526-4565-be9d-55f94aeb0817,Set,FIFA World Cup,1958,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1.131974,,,,,,,,,,,,8459da63-5bf1-429f-83b4-d576422b9275,235,,"[103.1, 47.6]",3888705,4,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Nils Liedholm,397782.0,Left Attacking Midfield,13,Sweden,790,"['c8941f3f-46c8-4ac0-9c91-42953e2e725c', 'c9fec7f4-490f-4cdf-8102-3e44eec2a3fe']",12,Right Foot,"[120.0, 36.7, 0.2]",,"[{'location': [108.2, 38.2], 'player': {'id': 397692, 'name': 'Dejalma Pereira Dias dos Santos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [103.8, 43.5], 'player': {'id': 397685, 'name': 'Hideraldo Luis Bellini'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.3, 45.8], 'player': {'id': 397686, 'name': 'Orlando Peçanha de Carvalho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [118.6, 40.9], 'player': {'id': 397683, 'name': 'Gylmar dos Santos Neves'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.9, 50.3], 'player': {'id': 397684, 'name': 'Nilton dos Reis Santos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [111.3, 51.5], 'player': {'id': 397788, 'name': 'Agne Simonsson'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",741137ec-3f9e-4762-86d9-fbb16deab0a8,,,Goal,0.15536276,Normal,Open Play,,Sweden,790,00:04:12.146,Shot,True,FIFA World Cup,Pressure,,,,,,,,,,,,,,,,,,,1.626493,,,,,,,,,,,,741137ec-3f9e-4762-86d9-fbb16deab0a8,223.0,,"[98.0, 65.0]",3888705.0,4.0,,,,,-1.7308505,8459da63-5bf1-429f-83b4-d576422b9275,Right Foot,,,,"[94.4, 42.7]",True,Low Pass,22.588715,,,,Nils Liedholm,,,,,,,1.0,Regular Play,Agne Simonsson,397788.0,Center Forward,13.0,Sweden,790.0,['c1b4f96e-071c-4438-a3f8-8f3bdc1b7f77'],6.0,,,,,,,,,,,,,Sweden,790.0,00:04:06.599,Pass,,FIFA World Cup,8459da63-5bf1-429f-83b4-d576422b9275,Set,FIFA World Cup,1958,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2.610384,,,,,,,,,,,,2f3f0d3e-aeaa-46aa-a588-b704e5267f8e,2051,,"[97.2, 49.3]",3888705,49,,,True,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Edvaldo Izidio Neto,397690.0,Left Center Forward,144,Brazil,781,"['48ca4499-15e4-4bfd-8db4-86800cd3d8bb', 'b36b7b07-6482-4503-bea9-67943cc478df']",47,Right Foot,"[120.0, 20.4]",,"[{'location': [117.0, 41.0], 'player': {'id': 397780, 'name': 'Karl-Oskar Svensson'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [97.2, 50.6], 'player': {'id': 397781, 'name': 'Sven Axbom'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.7, 39.4], 'player': {'id': 397801, 'name': 'Ernst Orvar Bergmark'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.3, 45.0], 'player': {'id': 397785, 'name': 'Bengt Gustavsson'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [99.3, 41.1], 'player': {'id': 39712, 'name': 'Édson Arantes do Nascimento'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}]",4127a22f-572d-4e18-8e7c-306a805f69f7,,,Wayward,0.05648128,Normal,Open Play,,Brazil,781,00:04:47.781,Shot,True,FIFA World Cup,Pressure,,,,,,,,,,,,,,,,,,,1.287557,,,,,,,,,,,,4127a22f-572d-4e18-8e7c-306a805f69f7,2047.0,,"[80.9, 66.0]",3888705.0,49.0,,,,,-1.3484476,2f3f0d3e-aeaa-46aa-a588-b704e5267f8e,Right Foot,,,,"[83.5, 54.5]",,Ground Pass,11.79025,,,,Edvaldo Izidio Neto,True,,,,,,2.0,Regular Play,Manoel Francisco dos Santos,397689.0,Right Midfield,144.0,Brazil,781.0,['d64dbec6-670d-4a0a-8060-f4005eac3a2b'],44.0,,,,,,,,,,,,,Brazil,781.0,00:04:44.599,Pass,,FIFA World Cup,2f3f0d3e-aeaa-46aa-a588-b704e5267f8e,Set,FIFA World Cup,1958,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.379973,,,,,,,,,,,,9d5d9e06-7257-48ce-8d3e-26e56399bc44,244,,"[118.2, 53.0]",3888705,5,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Manoel Francisco dos Santos,397689.0,Right Midfield,14,Brazil,781,['344df5e9-ea65-4c76-90dc-16335b97fb2a'],0,Right Foot,"[120.0, 44.8, 0.9]",,"[{'location': [119.1, 43.7], 'player': {'id': 397780, 'name': 'Karl-Oskar Svensson'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.8, 49.2], 'player': {'id': 397783, 'name': 'Sigvard Parling'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [118.3, 50.1], 'player': {'id': 397785, 'name': 'Bengt Gustavsson'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}]",b55089ef-d3ec-4771-89d2-e491ab692d42,,,Off T,0.011077472,Normal,Open Play,,Brazil,781,00:05:00.035,Shot,,FIFA World Cup,Ball Receipt*,,,,,,,,,,,,,,,,,,,2.554471,,,,,,,,,,,,b55089ef-d3ec-4771-89d2-e491ab692d42,240.0,,"[63.6, 45.3]",3888705.0,4.0,,,,,0.6127167,9d5d9e06-7257-48ce-8d3e-26e56399bc44,Right Foot,,,,"[104.0, 73.7]",,High Pass,49.383396,,,,Manoel Francisco dos Santos,True,,,,,,1.0,From Kick Off,Waldyr Pereira,397703.0,Left Defensive Midfield,14.0,Brazil,781.0,['f79f200c-cf01-41e5-9713-6a18859b7c9e'],54.0,,,,,,,,,,,,,Brazil,781.0,00:04:54.742,Pass,,FIFA World Cup,9d5d9e06-7257-48ce-8d3e-26e56399bc44,Set,FIFA World Cup,1958,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.941624,,,,,,,,,,,,6eff89cf-c00c-41ca-b064-b981c4d48502,2108,,"[113.4, 33.2]",3888705,50,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Agne Simonsson,397788.0,Center Forward,147,Sweden,790,['7e03ab9d-45a6-465e-83f1-8d08fe01cd13'],55,Left Foot,"[120.0, 34.6, 0.2]",,"[{'location': [119.5, 43.4], 'player': {'id': 397684, 'name': 'Nilton dos Reis Santos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [119.3, 37.9], 'player': {'id': 397683, 'name': 'Gylmar dos Santos Neves'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [114.5, 33.5], 'player': {'id': 397688, 'name': 'José Ely de Miranda'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [115.8, 29.6], 'player': {'id': 397685, 'name': 'Hideraldo Luis Bellini'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.0, 29.0], 'player': {'id': 397692, 'name': 'Dejalma Pereira Dias dos Santos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [112.9, 31.8], 'player': {'id': 397686, 'name': 'Orlando Peçanha de Carvalho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.0, 37.8], 'player': {'id': 397782, 'name': 'Nils Liedholm'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': True}, {'location': [118.4, 28.8], 'player': {'id': 397789, 'name': 'Karl Lennart Skoglund'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': True}]",a8746991-ac7f-4d2d-ada8-d52c8103b293,,,Off T,0.099857695,Half Volley,Open Play,,Sweden,790,00:05:55.290,Shot,,FIFA World Cup,Ball Receipt*,,,,,,,,,,,,,,,,,,,0.490281,,,,,,,,,,,,a8746991-ac7f-4d2d-ada8-d52c8103b293,2104.0,,"[114.3, 24.3]",3888705.0,50.0,,,,,1.8393757,6eff89cf-c00c-41ca-b064-b981c4d48502,Right Foot,True,True,,"[111.3, 35.2]",,Low Pass,11.305308,,,,Agne Simonsson,True,,,,,,2.0,Regular Play,Karl Lennart Skoglund,397789.0,Left Wing Back,147.0,Sweden,790.0,['1e038ade-8751-4709-959f-0cc12f60c06e'],54.0,,,,,,,,,,,,,Sweden,790.0,00:05:54.169,Pass,,FIFA World Cup,6eff89cf-c00c-41ca-b064-b981c4d48502,Set,FIFA World Cup,1958,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.326578,,,,,,,,,,,,c15af68c-decc-4958-81d0-d8ac6b566471,375,,"[115.6, 40.5]",3888705,8,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Edvaldo Izidio Neto,397690.0,Left Center Forward,26,Brazil,781,"['046fba1e-ccd5-4c9f-9764-dbc84b3754db', '4ae56a2e-d330-41d2-a05e-57e5e2701244']",28,Right Foot,"[120.0, 40.2, 0.5]",True,"[{'location': [112.9, 22.3], 'player': {'id': 397702, 'name': 'Mário Jorge Lobo Zagallo'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [116.8, 55.2], 'player': {'id': 397783, 'name': 'Sigvard Parling'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [116.6, 50.9], 'player': {'id': 397781, 'name': 'Sven Axbom'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [114.4, 43.6], 'player': {'id': 397786, 'name': 'Reino Borjesson'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [118.9, 58.1], 'player': {'id': 397689, 'name': 'Manoel Francisco dos Santos'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [114.1, 44.7], 'player': {'id': 39712, 'name': 'Édson Arantes do Nascimento'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [114.8, 39.6], 'player': {'id': 397785, 'name': 'Bengt Gustavsson'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [119.0, 42.5], 'player': {'id': 397780, 'name': 'Karl-Oskar Svensson'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.5, 36.5], 'player': {'id': 397801, 'name': 'Ernst Orvar Bergmark'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}]",8f67affc-69b2-4867-b979-b4068d5a83a5,,True,Goal,0.6872769,Normal,Open Play,,Brazil,781,00:08:28.844,Shot,True,FIFA World Cup,Ball Receipt*,,,,,,,,,,,,,,,,,,,1.068324,,,,,,,,,,,,8f67affc-69b2-4867-b979-b4068d5a83a5,372.0,,"[114.9, 60.7]",3888705.0,8.0,,,,,-1.5361568,c15af68c-decc-4958-81d0-d8ac6b566471,Right Foot,True,,,"[115.6, 40.5]",True,Low Pass,20.212126,,,,Edvaldo Izidio Neto,,,,,,,1.0,From Corner,Manoel Francisco dos Santos,397689.0,Right Midfield,26.0,Brazil,781.0,"['3060347e-7652-450d-9ce9-5f98940e784a', '63bc73ba-b344-4607-8aac-68cd3a259ff4']",27.0,,,,,,,,,,,,,Brazil,781.0,00:08:27.776,Pass,True,FIFA World Cup,c15af68c-decc-4958-81d0-d8ac6b566471,Moving,FIFA World Cup,1958,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.641524,,,,,,,,,,,,61ee4629-be3b-4673-b5c1-004bfa8eb61a,2292,,"[108.7, 39.3]",3888705,54,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Édson Arantes do Nascimento,39712.0,Right Center Forward,155,Brazil,781,['a8f3ee8f-74e7-46bf-8e13-8c734cfedcf9'],34,Right Foot,"[120.0, 38.0, 0.3]",,"[{'location': [118.3, 40.0], 'player': {'id': 397780, 'name': 'Karl-Oskar Svensson'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [108.6, 35.5], 'player': {'id': 397801, 'name': 'Ernst Orvar Bergmark'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.5, 42.4], 'player': {'id': 397783, 'name': 'Sigvard Parling'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [111.8, 43.0], 'player': {'id': 397781, 'name': 'Sven Axbom'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.3, 46.3], 'player': {'id': 397785, 'name': 'Bengt Gustavsson'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [108.9, 32.5], 'player': {'id': 397690, 'name': 'Edvaldo Izidio Neto'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}]",4078ffae-4da1-41f5-becd-ad8deac7858c,,,Goal,0.3279746,Half Volley,Open Play,,Brazil,781,00:09:34.861,Shot,,FIFA World Cup,Ball Recovery,,,,,,,,,,,,,,,,,,,1.908754,,,,,,,,,,,,4078ffae-4da1-41f5-becd-ad8deac7858c,2284.0,,"[90.3, 19.4]",3888705.0,54.0,,,,,1.0006826,61ee4629-be3b-4673-b5c1-004bfa8eb61a,Left Foot,,,,"[106.2, 44.2]",True,High Pass,29.459293,,,,Édson Arantes do Nascimento,,,,,,,2.0,Regular Play,Nilton dos Reis Santos,397684.0,Left Back,155.0,Brazil,781.0,['4410df15-4a61-4f86-a0f5-aa03420a9c98'],30.0,,,,,,,,,,,,,Brazil,781.0,00:09:30.392,Pass,,FIFA World Cup,61ee4629-be3b-4673-b5c1-004bfa8eb61a,Set,FIFA World Cup,1958,,,,,,,,,,
