50_50_shot,ball_receipt_outcome_shot,ball_recovery_recovery_failure_shot,block_deflection_shot,carry_end_location_shot,clearance_aerial_won_shot,clearance_body_part_shot,clearance_head_shot,clearance_left_foot_shot,clearance_right_foot_shot,counterpress_shot,dribble_nutmeg_shot,dribble_outcome_shot,dribble_overrun_shot,duel_outcome_shot,duel_type_shot,duration_shot,foul_committed_advantage_shot,foul_committed_type_shot,foul_won_advantage_shot,foul_won_defensive_shot,goalkeeper_body_part_shot,goalkeeper_end_location_shot,goalkeeper_outcome_shot,goalkeeper_position_shot,goalkeeper_punched_out_shot,goalkeeper_shot_saved_to_post_shot,goalkeeper_technique_shot,goalkeeper_type_shot,id_shot,index_shot,interception_outcome_shot,location_shot,match_id_shot,minute_shot,miscontrol_aerial_won_shot,off_camera_shot,out_shot,pass_aerial_won_shot,pass_angle_shot,pass_assisted_shot_id_shot,pass_body_part_shot,pass_cross_shot,pass_cut_back_shot,pass_deflected_shot,pass_end_location_shot,pass_goal_assist_shot,pass_height_shot,pass_inswinging_shot,pass_length_shot,pass_no_touch_shot,pass_outcome_shot,pass_outswinging_shot,pass_recipient_shot,pass_shot_assist_shot,pass_straight_shot,pass_switch_shot,pass_technique_shot,pass_through_ball_shot,pass_type_shot,period_shot,play_pattern_shot,player_shot,player_id_shot,position_shot,possession_shot,possession_team_shot,possession_team_id_shot,related_events_shot,second_shot,shot_aerial_won_shot,shot_body_part_shot,shot_end_location_shot,shot_first_time_shot,shot_freeze_frame_shot,shot_key_pass_id_shot,shot_one_on_one_shot,shot_open_goal_shot,shot_outcome_shot,shot_saved_to_post_shot,shot_statsbomb_xg_shot,shot_technique_shot,shot_type_shot,substitution_outcome_shot,substitution_replacement_shot,tactics_shot,team_shot,team_id_shot,timestamp_shot,type_shot,under_pressure_shot,comp_shot,play_before_type,50_50_pass,ball_receipt_outcome_pass,ball_recovery_recovery_failure_pass,block_deflection_pass,carry_end_location_pass,clearance_aerial_won_pass,clearance_body_part_pass,clearance_head_pass,clearance_left_foot_pass,clearance_right_foot_pass,counterpress_pass,dribble_nutmeg_pass,dribble_outcome_pass,dribble_overrun_pass,duel_outcome_pass,duel_type_pass,duration_pass,foul_committed_advantage_pass,foul_committed_type_pass,foul_won_advantage_pass,foul_won_defensive_pass,goalkeeper_body_part_pass,goalkeeper_end_location_pass,goalkeeper_outcome_pass,goalkeeper_position_pass,goalkeeper_punched_out_pass,goalkeeper_shot_saved_to_post_pass,goalkeeper_technique_pass,goalkeeper_type_pass,id_pass,index_pass,interception_outcome_pass,location_pass,match_id_pass,minute_pass,miscontrol_aerial_won_pass,off_camera_pass,out_pass,pass_aerial_won_pass,pass_angle_pass,pass_assisted_shot_id_pass,pass_body_part_pass,pass_cross_pass,pass_cut_back_pass,pass_deflected_pass,pass_end_location_pass,pass_goal_assist_pass,pass_height_pass,pass_inswinging_pass,pass_length_pass,pass_no_touch_pass,pass_outcome_pass,pass_outswinging_pass,pass_recipient_pass,pass_shot_assist_pass,pass_straight_pass,pass_switch_pass,pass_technique_pass,pass_through_ball_pass,pass_type_pass,period_pass,play_pattern_pass,player_pass,player_id_pass,position_pass,possession_pass,possession_team_pass,possession_team_id_pass,related_events_pass,second_pass,shot_aerial_won_pass,shot_body_part_pass,shot_end_location_pass,shot_first_time_pass,shot_freeze_frame_pass,shot_key_pass_id_pass,shot_one_on_one_pass,shot_open_goal_pass,shot_outcome_pass,shot_saved_to_post_pass,shot_statsbomb_xg_pass,shot_technique_pass,shot_type_pass,substitution_outcome_pass,substitution_replacement_pass,tactics_pass,team_pass,team_id_pass,timestamp_pass,type_pass,under_pressure_pass,comp_pass,shot_event,goalkeeper_position,league,season,dribble_no_touch_shot,foul_committed_card_shot,foul_committed_offensive_shot,dribble_no_touch_pass,foul_committed_card_pass,foul_committed_offensive_pass,bad_behaviour_card_shot,shot_deflected_shot,bad_behaviour_card_pass,shot_deflected_pass,ball_recovery_offensive_shot,block_offensive_shot,ball_recovery_offensive_pass,block_offensive_pass,pass_miscommunication_shot,pass_miscommunication_pass,goalkeeper_shot_saved_off_target_shot,shot_follows_dribble_shot,shot_saved_off_target_shot,goalkeeper_shot_saved_off_target_pass,shot_follows_dribble_pass,shot_saved_off_target_pass
,,,,,,,,,,,,,,,,0.728526,,,,,,,,,,,,,5cb039b1-0bd6-4ebd-b5b7-7a4e0a9fd176,185,,"[106.3, 42.0]",3889218,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Édson Arantes do Nascimento,39712.0,Right Center Forward,12,Brazil,781,['7deff3dd-509f-4fcc-9292-29bab2e90eaa'],36,,Right Foot,"[120.0, 44.0, 0.2]",,"[{'location': [103.8, 42.3], 'player': {'id': 398855, 'name': 'Héctor Eduardo Chumpitáz González'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [104.8, 44.6], 'player': {'id': 398856, 'name': 'Domingo Nicolás Fuentes Zegarra'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [104.7, 39.1], 'player': {'id': 398857, 'name': 'José Antonio Fernández Santini'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.9, 40.8], 'player': {'id': 398853, 'name': 'Luis Rubiños Cerna'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [99.3, 29.0], 'player': {'id': 398854, 'name': 'Eloy Campos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",badf00dd-1660-42bc-9459-a4e7063597c1,True,,Post,,0.4115187,Half Volley,Open Play,,,,Brazil,781,00:03:36.842,Shot,,FIFA World Cup,Pass,,,,,,,,,,,,,,,,,1.80795,,,,,,,,,,,,,badf00dd-1660-42bc-9459-a4e7063597c1,181.0,,"[66.3, 39.3]",3889218.0,3.0,,,,,0.4522268,5cb039b1-0bd6-4ebd-b5b7-7a4e0a9fd176,Left Foot,,,,"[98.0, 54.7]",,High Pass,,35.24273,,,,Édson Arantes do Nascimento,True,,,,,,1.0,From Corner,Gérson de Oliveira Nunes,397621.0,Left Defensive Midfield,12.0,Brazil,781.0,['571f5697-32b0-4cbb-ab7e-2ba2fd3d01a3'],32.0,,,,,,,,,,,,,,,,,Brazil,781.0,00:03:32.770,Pass,,FIFA World Cup,5cb039b1-0bd6-4ebd-b5b7-7a4e0a9fd176,Set,FIFA World Cup,1970,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.468878,,,,,,,,,,,,,b6d73b51-2284-40f1-b005-e4700997a2c9,191,,"[113.4, 33.9]",3889218,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Eduardo Gonçalves de Andrade,397637.0,Left Center Forward,12,Brazil,781,"['493259a7-8a19-4f8a-aa80-9c347bc95176', '92b9e402-02b3-4be8-b659-a4e0e7b620de']",40,,Left Foot,"[120.0, 34.7, 4.3]",True,"[{'location': [115.5, 43.7], 'player': {'id': 398855, 'name': 'Héctor Eduardo Chumpitáz González'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [117.2, 37.2], 'player': {'id': 398853, 'name': 'Luis Rubiños Cerna'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.0, 32.9], 'player': {'id': 398854, 'name': 'Eloy Campos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [116.4, 33.9], 'player': {'id': 398856, 'name': 'Domingo Nicolás Fuentes Zegarra'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}]",34b77e64-d2ba-4a25-9743-c6565ffddf48,,,Off T,,0.2370715,Normal,Open Play,,,,Brazil,781,00:03:40.755,Shot,True,FIFA World Cup,Ball Receipt*,,,,,,,,,,,,,,,,,0.997683,,,,,,,,,,,,,34b77e64-d2ba-4a25-9743-c6565ffddf48,188.0,,"[117.6, 31.0]",3889218.0,3.0,,,,,2.5372872,b6d73b51-2284-40f1-b005-e4700997a2c9,Right Foot,,,,"[113.4, 33.9]",,Ground Pass,,5.10392,,,,Eduardo Gonçalves de Andrade,True,,,,,Recovery,1.0,From Corner,Édson Arantes do Nascimento,39712.0,Right Center Forward,12.0,Brazil,781.0,"['39335993-0bb3-4b01-83c5-852173d4f164', 'b0030340-ccdc-446a-850d-ca4ea6911571']",39.0,,,,,,,,,,,,,,,,,Brazil,781.0,00:03:39.700,Pass,True,FIFA World Cup,b6d73b51-2284-40f1-b005-e4700997a2c9,Set,FIFA World Cup,1970,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.803614,,,,,,,,,,,,,e93d1694-2164-45f7-9e0b-cbccf24981f6,1950,,"[108.8, 47.2]",3889218,49,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Jair Ventura Filho,397622.0,Right Midfield,119,Brazil,781,['845ac3ed-b9f5-4cf4-bf67-23c512ee8818'],16,,Right Foot,"[120.0, 35.1, 0.2]",True,"[{'location': [110.8, 32.9], 'player': {'id': 398854, 'name': 'Eloy Campos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [115.9, 40.9], 'player': {'id': 398853, 'name': 'Luis Rubiños Cerna'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [117.9, 43.6], 'player': {'id': 398856, 'name': 'Domingo Nicolás Fuentes Zegarra'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [118.6, 37.3], 'player': {'id': 398857, 'name': 'José Antonio Fernández Santini'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [112.6, 45.6], 'player': {'id': 398855, 'name': 'Héctor Eduardo Chumpitáz González'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [115.9, 44.0], 'player': {'id': 39712, 'name': 'Édson Arantes do Nascimento'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [115.4, 37.6], 'player': {'id': 397637, 'name': 'Eduardo Gonçalves de Andrade'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}]",,,,Off T,,0.091533445,Half Volley,Open Play,,,,Brazil,781,00:04:16.429,Shot,,FIFA World Cup,Ball Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e93d1694-2164-45f7-9e0b-cbccf24981f6,Moving,FIFA World Cup,1970,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.153399,,,,,,,,,,,,,310a7e12-c683-47dd-b77b-b77edd7bd9db,1982,,"[105.9, 56.9]",3889218,50,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Carlos Alberto Torres,39708.0,Right Back,121,Brazil,781,"['13b2efcd-d988-48f2-a503-a9038b252141', '62b08f96-a921-4537-9ebf-9d05697397d7', 'ebc727a8-ebd8-4d8b-9c11-f4b8b38ceb11']",3,,Right Foot,"[106.8, 55.8]",True,"[{'location': [108.6, 39.8], 'player': {'id': 398855, 'name': 'Héctor Eduardo Chumpitáz González'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [117.9, 43.1], 'player': {'id': 398853, 'name': 'Luis Rubiños Cerna'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.6, 55.8], 'player': {'id': 398856, 'name': 'Domingo Nicolás Fuentes Zegarra'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}]",0450960e-9807-40dd-b91a-a23199193766,,,Blocked,,0.01933304,Normal,Open Play,,,,Brazil,781,00:05:03.608,Shot,True,FIFA World Cup,Ball Receipt*,,,,,,,,,,,,,,,,,2.172813,,,,,,,,,,,,,0450960e-9807-40dd-b91a-a23199193766,1979.0,,"[94.4, 45.3]",3889218.0,50.0,,,,,0.78972715,310a7e12-c683-47dd-b77b-b77edd7bd9db,Right Foot,,,,"[105.9, 56.9]",,Ground Pass,,16.33432,,,,Carlos Alberto Torres,True,,,,,,2.0,Regular Play,Édson Arantes do Nascimento,39712.0,Right Center Forward,121.0,Brazil,781.0,['7fadbeec-7748-4170-9909-a20c038b89a6'],1.0,,,,,,,,,,,,,,,,,Brazil,781.0,00:05:01.396,Pass,,FIFA World Cup,310a7e12-c683-47dd-b77b-b77edd7bd9db,Set,FIFA World Cup,1970,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.420858,,,,,,,,,,,,,07d56e28-3348-4c05-9611-10715a28c0f4,1987,,"[113.9, 52.7]",3889218,50,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Carlos Alberto Torres,39708.0,Right Back,121,Brazil,781,"['ced3af46-866c-4ae9-aeca-4563c7ecea98', 'db5aeae9-b2f7-451c-ab79-2dac97d2ef1b']",5,,Right Foot,"[117.8, 44.4, 0.2]",True,"[{'location': [118.4, 44.3], 'player': {'id': 398853, 'name': 'Luis Rubiños Cerna'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.4, 57.6], 'player': {'id': 398856, 'name': 'Domingo Nicolás Fuentes Zegarra'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [113.1, 47.2], 'player': {'id': 398859, 'name': 'Ramón Antonio Mifflin Páez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [113.0, 50.4], 'player': {'id': 398855, 'name': 'Héctor Eduardo Chumpitáz González'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",,,,Saved,,0.07312945,Normal,Open Play,,,,Brazil,781,00:05:05.323,Shot,True,FIFA World Cup,Ball Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07d56e28-3348-4c05-9611-10715a28c0f4,Set,FIFA World Cup,1970,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.371151,,,,,,,,,,,,,9ff5b5a3-fdea-4d0f-b7c8-48cfbf61575f,2034,,"[115.7, 40.3]",3889218,51,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Eduardo Gonçalves de Andrade,397637.0,Left Center Forward,124,Brazil,781,"['426665b6-553b-4fe2-8492-ca3593994e57', 'beaeac1c-fa41-4b81-a849-9537fc4a4fbe']",2,,Left Foot,"[120.0, 39.3, 2.4]",True,"[{'location': [115.0, 38.9], 'player': {'id': 398857, 'name': 'José Antonio Fernández Santini'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.3, 43.4], 'player': {'id': 398853, 'name': 'Luis Rubiños Cerna'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [114.6, 47.3], 'player': {'id': 398855, 'name': 'Héctor Eduardo Chumpitáz González'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.0, 47.2], 'player': {'id': 398859, 'name': 'Ramón Antonio Mifflin Páez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [113.2, 47.4], 'player': {'id': 39712, 'name': 'Édson Arantes do Nascimento'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}]",,,True,Goal,,0.8657662,Half Volley,Open Play,,,,Brazil,781,00:06:02.598,Shot,True,FIFA World Cup,Pressure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9ff5b5a3-fdea-4d0f-b7c8-48cfbf61575f,Prone,FIFA World Cup,1970,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.255838,,,,,,,,,,,,,3a38ccdf-6ce1-4a5e-8016-8ff12d931159,279,,"[113.5, 36.8]",3889218,7,,,True,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Carlos Alberto Torres,39708.0,Right Back,20,Brazil,781,"['9d907a58-2efa-41b5-a0a1-4cba4e3ab844', 'b5da8397-67e3-4e98-8d60-86dc2ce7e632']",2,True,Head,"[114.4, 80.0]",,"[{'location': [111.1, 54.9], 'player': {'id': 397630, 'name': 'Roberto Rivelino'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [100.8, 35.7], 'player': {'id': 397621, 'name': 'Gérson de Oliveira Nunes'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [105.7, 46.0], 'player': {'id': 398859, 'name': 'Ramón Antonio Mifflin Páez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [110.9, 41.9], 'player': {'id': 398855, 'name': 'Héctor Eduardo Chumpitáz González'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [115.8, 46.2], 'player': {'id': 398856, 'name': 'Domingo Nicolás Fuentes Zegarra'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [113.3, 32.7], 'player': {'id': 398873, 'name': 'Roberto Chale Olarte'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [107.6, 26.6], 'player': {'id': 398860, 'name': 'Julio Alberto Temistocles Baylón Aragones'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [113.4, 41.3], 'player': {'id': 397637, 'name': 'Eduardo Gonçalves de Andrade'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [118.8, 41.2], 'player': {'id': 398853, 'name': 'Luis Rubiños Cerna'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [119.1, 36.8], 'player': {'id': 398854, 'name': 'Eloy Campos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [113.1, 37.1], 'player': {'id': 398857, 'name': 'José Antonio Fernández Santini'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}]",30af67ad-7476-4a41-876a-c74141d9eccd,,,Wayward,,0.14613748,Normal,Open Play,,,,Brazil,781,00:07:02.156,Shot,True,FIFA World Cup,Ball Receipt*,,,,,,,,,,,,,,,,,1.003838,,,,,,,,,,,,,30af67ad-7476-4a41-876a-c74141d9eccd,276.0,,"[120.0, 0.1]",3889218.0,7.0,,,,,1.7460902,3a38ccdf-6ce1-4a5e-8016-8ff12d931159,Left Foot,,,,"[113.5, 36.8]",,High Pass,,37.271168,,,,Carlos Alberto Torres,True,True,,Straight,,Corner,1.0,From Corner,Roberto Rivelino,397630.0,Left Midfield,20.0,Brazil,781.0,['8ce064ad-f1cd-4b0b-a406-f09cdc22231b'],1.0,,,,,,,,,,,,,,,,,Brazil,781.0,00:07:01.113,Pass,,FIFA World Cup,3a38ccdf-6ce1-4a5e-8016-8ff12d931159,Set,FIFA World Cup,1970,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.145243,,,,,,,,,,,,,c467f422-38b0-4e2e-8b21-feccf8e0a458,365,,"[91.5, 43.0]",3889218,8,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ramón Antonio Mifflin Páez,398859.0,Left Defensive Midfield,23,Peru,784,"['375120fa-5b7d-469a-b64f-c63e37685a84', 'a83f69b4-4fed-42ff-913b-6fe7c62b39cd']",47,,Left Foot,"[93.9, 42.9]",,"[{'location': [101.6, 20.2], 'player': {'id': 398862, 'name': 'Alberto Gallardo'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [83.4, 41.1], 'player': {'id': 398860, 'name': 'Julio Alberto Temistocles Baylón Aragones'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [101.4, 45.9], 'player': {'id': 398861, 'name': 'Pedro Pablo León García'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [102.3, 46.5], 'player': {'id': 397627, 'name': 'Wilson da Silva Piazza'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.7, 43.1], 'player': {'id': 397628, 'name': 'Hercules Brito Ruas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [93.7, 42.8], 'player': {'id': 397621, 'name': 'Gérson de Oliveira Nunes'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [93.4, 40.9], 'player': {'id': 397620, 'name': 'Clodoaldo Tavares de Santana'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [92.3, 44.0], 'player': {'id': 397630, 'name': 'Roberto Rivelino'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [102.9, 30.5], 'player': {'id': 39708, 'name': 'Carlos Alberto Torres'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [116.8, 41.3], 'player': {'id': 397626, 'name': 'Félix Miéli Venerando'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",9f9af2bc-4f3a-48b9-b3c0-11f1e5bb14b6,,,Blocked,,0.017269528,Normal,Open Play,,,,Peru,784,00:08:47.433,Shot,,FIFA World Cup,Pressure,,,,,,,,,,,,,,,,,0.582443,,,,,,,,,,,,,9f9af2bc-4f3a-48b9-b3c0-11f1e5bb14b6,361.0,,"[80.0, 52.2]",3889218.0,8.0,,,,,-1.3036538,c467f422-38b0-4e2e-8b21-feccf8e0a458,Right Foot,,,,"[82.6, 42.7]",,Ground Pass,,9.849365,,,,Ramón Antonio Mifflin Páez,True,,,,,,1.0,Regular Play,Julio Alberto Temistocles Baylón Aragones,398860.0,Right Midfield,23.0,Peru,784.0,['f3bdbccd-28be-4d32-bb3a-4c215c9f3667'],43.0,,,,,,,,,,,,,,,,,Peru,784.0,00:08:43.404,Pass,,FIFA World Cup,c467f422-38b0-4e2e-8b21-feccf8e0a458,Set,FIFA World Cup,1970,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1.267566,,,,,,,,,,,,,0172dcd0-5944-4f95-b3aa-84cafb1f39d1,404,,"[95.8, 25.8]",3889218,9,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Roberto Rivelino,397630.0,Left Midfield,25,Brazil,781,['25c7962d-df50-4508-bf9c-969a21049604'],32,,Left Foot,"[117.7, 40.3, 0.6]",,"[{'location': [117.7, 39.4], 'player': {'id': 398853, 'name': 'Luis Rubiños Cerna'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [96.8, 41.9], 'player': {'id': 398859, 'name': 'Ramón Antonio Mifflin Páez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [102.9, 56.5], 'player': {'id': 398856, 'name': 'Domingo Nicolás Fuentes Zegarra'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [94.5, 29.4], 'player': {'id': 398873, 'name': 'Roberto Chale Olarte'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [103.1, 42.6], 'player': {'id': 398855, 'name': 'Héctor Eduardo Chumpitáz González'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.4, 36.7], 'player': {'id': 398857, 'name': 'José Antonio Fernández Santini'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [100.9, 27.5], 'player': {'id': 398854, 'name': 'Eloy Campos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [96.6, 41.1], 'player': {'id': 39712, 'name': 'Édson Arantes do Nascimento'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [102.5, 44.5], 'player': {'id': 397637, 'name': 'Eduardo Gonçalves de Andrade'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}]",85fcea86-fa2c-4335-afbb-586f39111c32,,,Saved,,0.023843408,Half Volley,Open Play,,,,Brazil,781,00:09:32.007,Shot,,FIFA World Cup,Ball Receipt*,,,,,,,,,,,,,,,,,2.192634,,,,,,,,,,,,,85fcea86-fa2c-4335-afbb-586f39111c32,401.0,,"[88.3, 56.4]",3889218.0,9.0,,,,,-1.551751,0172dcd0-5944-4f95-b3aa-84cafb1f39d1,Right Foot,,,,"[88.9, 24.9]",,High Pass,,31.505714,,,,Roberto Rivelino,True,,,,,,1.0,From Throw In,Édson Arantes do Nascimento,39712.0,Right Center Forward,25.0,Brazil,781.0,"['c4e1e921-03b0-48cc-b9c3-37d1c9a420ff', 'fba30188-1cc6-4dc9-835a-a2b26e8f54cf']",28.0,,,,,,,,,,,,,,,,,Brazil,781.0,00:09:28.851,Pass,True,FIFA World Cup,0172dcd0-5944-4f95-b3aa-84cafb1f39d1,Set,FIFA World Cup,1970,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1.103278,,,,,,,,,,,,,07364ac7-d4e4-4662-af44-2a94e17b427b,439,,"[102.2, 22.9]",3889218,10,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Roberto Rivelino,397630.0,Left Midfield,29,Brazil,781,['7b111caa-55aa-43dd-8ffa-428731d471cf'],24,,Left Foot,"[120.0, 43.8, 0.2]",True,"[{'location': [106.8, 38.3], 'player': {'id': 398857, 'name': 'José Antonio Fernández Santini'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [117.1, 37.7], 'player': {'id': 398853, 'name': 'Luis Rubiños Cerna'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.7, 30.0], 'player': {'id': 398854, 'name': 'Eloy Campos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [103.5, 36.9], 'player': {'id': 397637, 'name': 'Eduardo Gonçalves de Andrade'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}]",c07a84a7-6835-4f7f-a590-e917923210cb,,,Goal,,0.029977804,Normal,Open Play,,,,Brazil,781,00:10:24.782,Shot,,FIFA World Cup,Ball Receipt*,,,,,,,,,,,,,,,,,1.527817,,,,,,,,,,,,,c07a84a7-6835-4f7f-a590-e917923210cb,437.0,,"[105.2, 34.0]",3889218.0,10.0,,,,,-1.8347601,07364ac7-d4e4-4662-af44-2a94e17b427b,Left Foot,,,,"[102.2, 22.9]",True,Ground Pass,,11.4982605,,,,Roberto Rivelino,,,,,,Recovery,1.0,From Throw In,Eduardo Gonçalves de Andrade,397637.0,Left Center Forward,29.0,Brazil,781.0,['3518342f-6f31-4135-8b02-5de037789f50'],23.0,,,,,,,,,,,,,,,,,Brazil,781.0,00:10:23.234,Pass,,FIFA World Cup,07364ac7-d4e4-4662-af44-2a94e17b427b,Set,FIFA World Cup,1970,,,,,,,,,,,,,,,,,,,,,,
